alternative  encode
UOBM38  ALBERT

cosine

Method 2 K56  score: 32643.02079637918
Method 2 K57  score: 32645.647069643324
Method 2 K58  score: 32645.647069643324
Method 2 K59  score: 32640.18816120377
Method 2 K60  score: 32643.77274525238
Method 2 K61  score: 32648.79802123763
Method 2 K62  score: 32646.047493897175
Method 2 K63  score: 32643.339112798076
Method 2 K64  score: 32646.923696846687
Method 2 K65  score: 32641.573324215613
Method 2 K66  score: 32638.822796875156
Method 2 K67  score: 32636.11441577606
Method 2 K68  score: 32639.698999824668
Method 2 K69  score: 32642.493149581427
Method 2 K70  score: 32639.74262224097
Method 2 K71  score: 32643.03424114187
Method 2 K72  score: 32640.618825190482
Method 2 K73  score: 32642.325273088813
Method 2 K74  score: 32645.574745748356
Method 2 K75  score: 32636.866364649257
Method 2 K76  score: 32640.450948697868
Method 2 K77  score: 32645.47622468312
Method 2 K78  score: 32642.725697342663
Method 2 K79  score: 32642.725697342663
Method 2 K80  score: 32643.601900292175
Method 2 K81  score: 32643.245098454627
Method 2 K82  score: 32640.49457111417
Method 2 K83  score: 32637.78619001507
Method 2 K84  score: 32641.370774063682
Method 2 K85  score: 32646.396050048934
Method 2 K86  score: 32643.645522708477
Method 2 K87  score: 32640.937141609378
Method 2 K88  score: 32644.52172565799
Method 2 K89  score: 32642.998808309534
Method 2 K90  score: 32640.24828096908
Method 2 K91  score: 32637.539899869982
Method 2 K92  score: 32641.124483918593
Method 2 K93  score: 32643.91863367535
Method 2 K94  score: 32641.16810633489
Method 2 K95  score: 32638.459725235793
Method 2 K96  score: 32642.044309284403
Method 2 K97  score: 32643.750757182734
Method 2 K98  score: 32641.000229842277
Method 2 K99  score: 32638.29184874318
Method 2 K100  score: 32641.87643279179
Method 2 K101  score: 32646.90170877704
Method 2 K102  score: 32644.151181436584
Method 2 K103  score: 32641.44280033749
Method 2 K104  score: 32645.027384386096
Method 2 K105  score: 32644.670582548548
Method 2 K106  score: 32641.92005520809
Method 2 K107  score: 32639.211674108992
Method 2 K108  score: 32642.796258157603
Method 2 K109  score: 32647.821534142855
Method 2 K110  score: 32645.0710068024
Method 2 K111  score: 32642.3626257033
Method 2 K112  score: 32645.94720975191


Euclid

Method 1 K1  score: 18619.04029528221
Method 1 K2  score: 18618.599863879925
Method 1 K3  score: 18618.850911909714
Method 1 K4  score: 18618.232761215768
Method 1 K5  score: 18618.995235311457
Method 1 K6  score: 18618.55480390917
Method 1 K7  score: 18618.80585193896
Method 1 K8  score: 18618.187701245013
Method 1 K9  score: 18858.151118050846
Method 1 K10  score: 18857.71068664856
Method 1 K11  score: 18857.96173467835
Method 1 K12  score: 18975.443943425857
Method 1 K13  score: 18619.541978540143
Method 1 K14  score: 18619.101547137856
Method 1 K15  score: 18619.352595167646
Method 1 K16  score: 18618.7344444737
Method 1 K17  score: 18618.7344444737
Method 1 K18  score: 18618.003214573746
Method 1 K19  score: 18618.254262603536
Method 1 K20  score: 18617.636111909593
Method 1 K21  score: 18618.516260505945
Method 1 K22  score: 18618.075829103658
Method 1 K23  score: 18618.326877133448
Method 1 K24  score: 18617.7087264395
Method 1 K25  score: 18618.398586005278
Method 1 K26  score: 18617.95815460299
Method 1 K27  score: 18618.20920263278
Method 1 K28  score: 18617.591051938834
Method 1 K29  score: 18618.945329233968
Method 1 K30  score: 18618.504897831677
Method 1 K31  score: 18618.755945861467
Method 1 K32  score: 18618.137795167524
Method 1 K33  score: 18618.471200535187
Method 1 K34  score: 18618.0307691329
