alternative  encode experiment

UOBM37  ALBERT

cosine

Method 2 K56  score: 32426.84961208036
Method 2 K57  score: 32425.507086622674
Method 2 K58  score: 32422.756559282217
Method 2 K59  score: 32420.04817818312
Method 2 K60  score: 32423.63276223173
Method 2 K61  score: 32430.626836938813
Method 2 K62  score: 32427.876309598356
Method 2 K63  score: 32425.167928499257
Method 2 K64  score: 32428.752512547868
Method 2 K65  score: 32427.399610952423
Method 2 K66  score: 32424.649083611966
Method 2 K67  score: 32421.940702512868
Method 2 K68  score: 32425.52528656148
Method 2 K69  score: 32426.34578204102
Method 2 K70  score: 32423.59525470056
Method 2 K71  score: 32420.886873601463
Method 2 K72  score: 32424.471457650074
Method 2 K73  score: 32424.18276110379
Method 2 K74  score: 32421.432233763335
Method 2 K75  score: 32418.723852664236
Method 2 K76  score: 32422.308436712847
Method 2 K77  score: 32429.30251141993
Method 2 K78  score: 32426.551984079473
Method 2 K79  score: 32423.843602980374
Method 2 K80  score: 32427.428187028985
Method 2 K81  score: 32423.128932192387
Method 2 K82  score: 32420.37840485193
Method 2 K83  score: 32417.67002375283
Method 2 K84  score: 32421.254607801442
Method 2 K85  score: 32428.248682508525
Method 2 K86  score: 32425.49815516807
Method 2 K87  score: 32422.78977406897
Method 2 K88  score: 32426.37435811758
Method 2 K89  score: 32428.825095046344
Method 2 K90  score: 32426.074567705888
Method 2 K91  score: 32423.36618660679
Method 2 K92  score: 32426.9507706554
Method 2 K93  score: 32427.77126613494
Method 2 K94  score: 32425.020738794483
Method 2 K95  score: 32422.312357695384
Method 2 K96  score: 32425.896941743995
Method 2 K97  score: 32425.608245197713
Method 2 K98  score: 32422.857717857256
Method 2 K99  score: 32420.149336758157
Method 2 K100  score: 32423.733920806768
Method 2 K101  score: 32430.72799551385
Method 2 K102  score: 32427.977468173394
Method 2 K103  score: 32425.269087074295
Method 2 K104  score: 32428.853671122906
Method 2 K105  score: 32424.554416286308
Method 2 K106  score: 32421.80388894585
Method 2 K107  score: 32419.095507846752
Method 2 K108  score: 32422.680091895363
Method 2 K109  score: 32429.674166602446
Method 2 K110  score: 32426.92363926199
Method 2 K111  score: 32424.21525816289
Method 2 K112  score: 32427.7998422115


Euclid

Method 1 K1  score: 18505.666081188494
Method 1 K2  score: 18505.223872939
Method 1 K3  score: 18505.470612437435
Method 1 K4  score: 18504.854601110826
Method 1 K5  score: 18505.615568258396
Method 1 K6  score: 18505.173360008903
Method 1 K7  score: 18505.420099507337
Method 1 K8  score: 18504.80408818073
Method 1 K9  score: 18744.659064159332
Method 1 K10  score: 18744.21685590984
Method 1 K11  score: 18744.463595408273
Method 1 K12  score: 18743.847584081665
Method 1 K13  score: 18506.148373815704
Method 1 K14  score: 18505.70616556621
Method 1 K15  score: 18505.952905064645
Method 1 K16  score: 18505.336893738036
Method 1 K17  score: 18505.092100357906
Method 1 K18  score: 18504.649892108413
Method 1 K19  score: 18504.896631606847
Method 1 K20  score: 18504.28062028024
Method 1 K21  score: 18505.152879410572
Method 1 K22  score: 18504.71067116108
Method 1 K23  score: 18504.957410659514
Method 1 K24  score: 18504.341399332905
Method 1 K25  score: 18505.041587427808
Method 1 K26  score: 18504.599379178315
