UOBM36  ALBERT

cosine
Method 1 K1  score: 10031.851557237385
Method 1 K2  score: 10031.28128103503
Method 1 K3  score: 10032.33716403407
Method 1 K4  score: 10030.752958389861
Method 1 K5  score: 10031.6979316617
Method 1 K6  score: 10031.127655459344
Method 1 K7  score: 10032.183538458385
Method 1 K8  score: 10030.599332814176
Method 1 K9  score: 10097.303733390423
Method 1 K10  score: 10096.733457188067
Method 1 K11  score: 10097.789340187108
Method 1 K12  score: 10096.205134542899
Method 1 K13  score: 10033.155297467447
Method 1 K14  score: 10032.585021265091
Method 1 K15  score: 10033.640904264132
Method 1 K16  score: 10032.056698619923
Method 1 K17  score: 10030.787391065625
Method 1 K18  score: 10030.21711486327
Method 1 K19  score: 10031.27299786231
Method 1 K20  score: 10029.688792218101
Method 1 K21  score: 10030.768318344522
Method 1 K22  score: 10030.198042142167
Method 1 K23  score: 10031.253925141207
Method 1 K24  score: 10029.669719496998
Method 1 K25  score: 10030.63376548994
Method 1 K26  score: 10030.063489287584
Method 1 K27  score: 10031.119372286625
Method 1 K28  score: 10029.535166642416
Method 1 K29  score: 10032.091131295687
Method 1 K30  score: 10031.520855093331
Method 1 K31  score: 10032.576738092372
Method 1 K32  score: 10030.992532448163
Method 1 K33  score: 10030.614692768837
Method 1 K34  score: 10030.044416566481
Method 1 K35  score: 10031.100299565522
Method 1 K36  score: 10029.516093921313
Method 1 K37  score: 10032.072058574584
Method 1 K38  score: 10031.501782372228
Method 1 K39  score: 10032.557665371269
Method 1 K40  score: 10030.97345972706
Method 2 K1  score: 11637.19086288791
Method 2 K2  score: 11636.206090066467
Method 2 K3  score: 11635.948496939522
Method 2 K4  score: 11635.811775482696
Method 2 K5  score: 11636.691642357802
Method 2 K6  score: 11635.70686953636
Method 2 K7  score: 11635.449276409414
Method 2 K8  score: 11635.312554952588
Method 2 K9  score: 11679.118194239429
Method 2 K10  score: 11678.133421417986
Method 2 K11  score: 11677.87582829104
Method 2 K12  score: 11677.739106834215
Method 2 K13  score: 11637.152970387424
Method 2 K14  score: 11636.168197565981
Method 2 K15  score: 11635.910604439036
Method 2 K16  score: 11635.77388298221
Method 2 K17  score: 11637.231326317924
Method 2 K18  score: 11636.246553496481
Method 2 K19  score: 11635.988960369536
Method 2 K20  score: 11635.85223891271
Method 2 K21  score: 11636.809794804562
Method 2 K22  score: 11635.825021983119
Method 2 K23  score: 11635.567428856173
Method 2 K24  score: 11635.430707399348
Method 2 K25  score: 11636.732105787816
Method 2 K26  score: 11635.747332966374
Method 2 K27  score: 11635.489739839428
Method 2 K28  score: 11635.353018382602
Method 2 K29  score: 11637.193433817438
Method 2 K30  score: 11636.208660995995
Method 2 K31  score: 11635.95106786905
Method 2 K32  score: 11635.814346412224
Method 2 K33  score: 11636.310574274454
Method 2 K34  score: 11635.325801453011
Method 2 K35  score: 11635.068208326065
Method 2 K36  score: 11634.93148686924
