alternative encode
UOBM35  RoBERTa

cosine
Method 4 K3  score: 3754.9475526359242
Method 4 K4  score: 4194.577620935363
Method 4 K5  score: 4199.0327712626395
Method 4 K6  score: 4194.593083658039
Method 4 K7  score: 4086.5359393800795
Method 4 K8  score: 4194.532801639239
Method 4 K9  score: 4200.875912483848
Method 4 K10  score: 4084.8913658803936
Method 4 K11  score: 4199.923939600142
Method 4 K12  score: 4199.923939600142
Method 4 K13  score: 4199.26558251906
Method 4 K14  score: 4199.26558251906
Method 4 K15  score: 4198.313609635354
Method 4 K16  score: 4194.76561289566
4 ----------------
Method 4 K1  score: 3987.0644681474682
Method 4 K2  score: 3982.635314671277
Method 4 K3  score: 3662.914201233067
Method 4 K4  score: 4091.0851864833244
Method 4 K5  score: 4095.5080962520374
Method 4 K6  score: 4091.078942775846
Method 4 K7  score: 3985.950291593916
Method 4 K8  score: 4091.052539010889
Method 4 K9  score: 4097.471450922089
Method 4 K10  score: 3984.5660218688927
Method 4 K11  score: 4096.389921840972
Method 4 K12  score: 4096.389921840972
Method 4 K13  score: 4095.6728846331166
Method 4 K14  score: 4095.6728846331166
Method 4 K15  score: 4094.5913555519996
Method 4 K16  score: 4091.2173273919675
