alternative  encoding
UOBM37  CoSENT

cosine

Method 2 K66  score: 31980.9765625
Method 2 K67  score: 31978.640625
Method 2 K68  score: 31978.912109375
Method 2 K69  score: 31981.697265625
Method 2 K70  score: 31979.134765625
Method 2 K71  score: 31976.798828125
Method 2 K72  score: 31977.0703125
Method 2 K73  score: 31979.71875
Method 2 K74  score: 31977.15625
Method 2 K75  score: 31974.8203125
Method 2 K76  score: 31975.091796875
Method 2 K77  score: 31985.490234375
Method 2 K78  score: 31982.927734375
Method 2 K79  score: 31980.591796875
Method 2 K80  score: 31980.86328125
Method 2 K81  score: 31977.876953125
Method 2 K82  score: 31975.314453125
Method 2 K83  score: 31972.978515625
Method 2 K84  score: 31973.25
Method 2 K85  score: 31983.6484375
Method 2 K86  score: 31981.0859375
Method 2 K87  score: 31978.75
Method 2 K88  score: 31979.021484375
Method 2 K89  score: 31985.91796875
Method 2 K90  score: 31983.35546875
Method 2 K91  score: 31981.01953125
Method 2 K92  score: 31981.291015625
Method 2 K93  score: 31984.076171875
Method 2 K94  score: 31981.513671875
Method 2 K95  score: 31979.177734375
Method 2 K96  score: 31979.44921875
Method 2 K97  score: 31982.09765625
Method 2 K98  score: 31979.53515625
Method 2 K99  score: 31977.19921875
Method 2 K100  score: 31977.470703125
Method 2 K101  score: 31987.869140625
Method 2 K102  score: 31985.306640625
Method 2 K103  score: 31982.970703125
Method 2 K104  score: 31983.2421875
Method 2 K105  score: 31980.255859375
Method 2 K106  score: 31977.693359375
Method 2 K107  score: 31975.357421875
Method 2 K108  score: 31975.62890625
Method 2 K109  score: 31986.02734375
Method 2 K110  score: 31983.46484375
Method 2 K111  score: 31981.12890625
Method 2 K112  score: 31981.400390625


euclid

Method 1 K1  score: 18551.365365404014
Method 1 K2  score: 18550.955641938242
Method 1 K3  score: 18550.609849521574
Method 1 K4  score: 18551.09118852004
Method 1 K5  score: 18551.3177515864
Method 1 K6  score: 18550.90802812063
Method 1 K7  score: 18550.56223570396
Method 1 K8  score: 18551.043574702428
Method 1 K9  score: 18789.92490984372
Method 1 K10  score: 18789.51518637795
Method 1 K11  score: 18789.16939396128
Method 1 K12  score: 18789.650732959748
Method 1 K13  score: 18551.77306167158
Method 1 K14  score: 18551.36333820581
Method 1 K15  score: 18551.017545789142
Method 1 K16  score: 18551.49888478761
Method 1 K17  score: 18550.960151783496
Method 1 K18  score: 18550.550428317725
Method 1 K19  score: 18550.204635901056
Method 1 K20  score: 18550.685974899523
Method 1 K21  score: 18550.939732235714
Method 1 K22  score: 18550.530008769943
Method 1 K23  score: 18550.184216353275
Method 1 K24  score: 18550.66555535174
Method 1 K25  score: 18550.912537965884
Method 1 K26  score: 18550.502814500112
Method 1 K27  score: 18667.887934900646
Method 1 K28  score: 18550.63836108191
Method 1 K29  score: 18551.367848051064
Method 1 K30  score: 18667.752388318848
Method 1 K31  score: 18550.612332168625
Method 1 K32  score: 18551.09367116709
Method 1 K33  score: 18550.8921184181
Method 1 K34  score: 18550.48239495233
Method 1 K35  score: 18550.136602535662
Method 1 K36  score: 18550.61794153413
Method 1 K37  score: 18551.347428503283
Method 1 K38  score: 18550.93770503751
Method 1 K39  score: 18550.591912620843
Method 1 K40  score: 18551.07325161931
Method 1 K41  score: 18551.32221906438
Method 1 K42  score: 18550.912495598608
Method 1 K43  score: 18550.56670318194
Method 1 K44  score: 18551.048042180406
Method 1 K45  score: 18551.274605246766
Method 1 K46  score: 18550.864881780995
Method 1 K47  score: 18550.519089364327
Method 1 K48  score: 18551.000428362793
Method 1 K49  score: 18551.729915331947
Method 1 K50  score: 18551.320191866176
Method 1 K51  score: 18550.974399449507
Method 1 K52  score: 18551.455738447974
Method 1 K53  score: 18551.459481943602
Method 1 K54  score: 18551.04975847783
Method 1 K55  score: 18550.703966061163
Method 1 K56  score: 18551.18530505963
Method 1 K57  score: 18551.41186812599
Method 1 K58  score: 18551.00214466022
Method 1 K59  score: 18550.65635224355
Method 1 K60  score: 18551.137691242016
Method 1 K61  score: 18551.86717821117
Method 1 K62  score: 18551.4574547454
Method 1 K63  score: 18551.11166232873
Method 1 K64  score: 18551.593001327197
Method 1 K65  score: 18550.917005443862
Method 1 K66  score: 18550.50728197809
Method 1 K67  score: 18550.161489561422
Method 1 K68  score: 18550.64282855989
Method 1 K69  score: 18550.89658589608
Method 1 K70  score: 18550.48686243031
Method 1 K71  score: 18550.14107001364
Method 1 K72  score: 18550.622409012107
Method 1 K73  score: 18550.86939162625
Method 1 K74  score: 18550.459668160478
Method 1 K75  score: 18550.11387574381
Method 1 K76  score: 18550.595214742276
Method 1 K77  score: 18551.32470171143
Method 1 K78  score: 18550.91497824566
Method 1 K79  score: 18550.56918582899
