alternative encoding
UOBM37  SBERT

Cosine

Method 1 K1  score: 22044.96484375
Method 1 K2  score: 22043.0703125
Method 1 K3  score: 22048.263671875
Method 1 K4  score: 22042.169921875
Method 1 K5  score: 22044.119140625
Method 1 K6  score: 22042.224609375
Method 1 K7  score: 22047.41796875
Method 1 K8  score: 22041.32421875
Method 1 K9  score: 22333.142578125
Method 1 K10  score: 22331.248046875
Method 1 K11  score: 22336.44140625
Method 1 K12  score: 22330.34765625
Method 1 K13  score: 22051.64453125
Method 1 K14  score: 22049.75
Method 1 K15  score: 22054.943359375
Method 1 K16  score: 22048.849609375
Method 1 K17  score: 22039.28515625
Method 1 K18  score: 22037.390625
Method 1 K19  score: 22042.583984375
Method 1 K20  score: 22036.490234375
Method 1 K21  score: 22038.724609375
Method 1 K22  score: 22036.830078125
Method 1 K23  score: 22042.0234375
Method 1 K24  score: 22035.9296875
Method 1 K25  score: 22038.439453125
Method 1 K26  score: 22036.544921875
Method 1 K27  score: 22173.537109375
Method 1 K28  score: 22035.64453125
Method 1 K29  score: 22045.96484375
Method 1 K30  score: 22174.4375
Method 1 K31  score: 22049.263671875
Method 1 K32  score: 22043.169921875
Method 1 K33  score: 22037.87890625
Method 1 K34  score: 22035.984375
Method 1 K35  score: 22041.177734375
Method 1 K36  score: 22035.083984375
Method 1 K37  score: 22045.404296875
Method 1 K38  score: 22043.509765625
Method 1 K39  score: 22048.703125
Method 1 K40  score: 22042.609375
Method 1 K41  score: 22044.662109375
Method 1 K42  score: 22042.767578125
Method 1 K43  score: 22047.9609375
Method 1 K44  score: 22041.8671875
Method 1 K45  score: 22043.81640625
Method 1 K46  score: 22041.921875
Method 1 K47  score: 22047.115234375
Method 1 K48  score: 22041.021484375
Method 1 K49  score: 22051.341796875
Method 1 K50  score: 22049.447265625
Method 1 K51  score: 22054.640625
Method 1 K52  score: 22048.546875
Method 1 K53  score: 22053.54296875
Method 1 K54  score: 22051.6484375
Method 1 K55  score: 22056.841796875
Method 1 K56  score: 22050.748046875
Method 1 K57  score: 22052.697265625
Method 1 K58  score: 22050.802734375
Method 1 K59  score: 22055.99609375
Method 1 K60  score: 22049.90234375
Method 1 K61  score: 22060.22265625
Method 1 K62  score: 22058.328125
Method 1 K63  score: 22063.521484375
Method 1 K64  score: 22057.427734375
Method 1 K65  score: 22038.982421875
Method 1 K66  score: 22037.087890625
Method 1 K67  score: 22042.28125
Method 1 K68  score: 22036.1875
Method 1 K69  score: 22038.421875
Method 1 K70  score: 22036.52734375
Method 1 K71  score: 22041.720703125
Method 1 K72  score: 22035.626953125
Method 1 K73  score: 22038.13671875
Method 1 K74  score: 22036.2421875
Method 1 K75  score: 22041.435546875
Method 1 K76  score: 22035.341796875
Method 1 K77  score: 22045.662109375
Method 1 K78  score: 22043.767578125
Method 1 K79  score: 22048.9609375
Method 1 K80  score: 22042.8671875
