alternative encoding
UOBM38  SBERT

Cosine

Method 2 K67  score: 31243.73046875
Method 2 K68  score: 31246.060546875
Method 2 K69  score: 31252.849609375
Method 2 K70  score: 31246.138671875
Method 2 K71  score: 31249.64453125
Method 2 K72  score: 31245.974609375
Method 2 K73  score: 31253.001953125
Method 2 K74  score: 31252.2890625
Method 2 K75  score: 31243.794921875
Method 2 K76  score: 31246.126953125
Method 2 K77  score: 31256.8359375
Method 2 K78  score: 31250.125
Method 2 K79  score: 31250.125
Method 2 K80  score: 31249.9609375
Method 2 K81  score: 31252.916015625
Method 2 K82  score: 31246.203125
Method 2 K83  score: 31243.708984375
Method 2 K84  score: 31246.041015625
Method 2 K85  score: 31256.75
Method 2 K86  score: 31250.0390625
Method 2 K87  score: 31247.544921875
Method 2 K88  score: 31249.875
Method 2 K89  score: 31255.34375
Method 2 K90  score: 31248.630859375
Method 2 K91  score: 31246.13671875
Method 2 K92  score: 31248.46875
Method 2 K93  score: 31255.2578125
Method 2 K94  score: 31248.544921875
Method 2 K95  score: 31246.05078125
Method 2 K96  score: 31248.3828125
Method 2 K97  score: 31255.41015625
Method 2 K98  score: 31248.697265625
Method 2 K99  score: 31246.203125
Method 2 K100  score: 31248.533203125
Method 2 K101  score: 31259.244140625
Method 2 K102  score: 31252.53125
Method 2 K103  score: 31250.037109375
Method 2 K104  score: 31252.369140625
Method 2 K105  score: 31255.322265625
Method 2 K106  score: 31248.611328125
Method 2 K107  score: 31246.1171875
Method 2 K108  score: 31248.447265625
Method 2 K109  score: 31259.158203125
Method 2 K110  score: 31252.4453125
Method 2 K111  score: 31249.951171875
Method 2 K112  score: 31252.283203125


euclid

Method 1 K1  score: 20490.148682339655
Method 1 K2  score: 20489.465513402574
Method 1 K3  score: 20489.958170135083
Method 1 K4  score: 20489.31933899704
Method 1 K5  score: 20489.94475836779
Method 1 K6  score: 20489.261589430702
Method 1 K7  score: 20489.75424616322
Method 1 K8  score: 20489.115415025175
Method 1 K9  score: 20757.600005236425
Method 1 K10  score: 20756.916836299344
Method 1 K11  score: 20757.409493031853
Method 1 K12  score: 20885.951746826442
Method 1 K13  score: 20491.257784240326
Method 1 K14  score: 20490.574615303238
Method 1 K15  score: 20491.067272035754
Method 1 K16  score: 20490.428440897704
Method 1 K17  score: 20490.428440897704
Method 1 K18  score: 20488.76023790011
Method 1 K19  score: 20489.25289463262
Method 1 K20  score: 20488.614063494577
Method 1 K21  score: 20489.407450349885
Method 1 K22  score: 20488.724281412797
Method 1 K23  score: 20489.216938145313
Method 1 K24  score: 20488.578107007263
Method 1 K25  score: 20489.239482865327
Method 1 K26  score: 20488.556313928246
Method 1 K27  score: 20489.048970660755
Method 1 K28  score: 20488.41013952271
Method 1 K29  score: 20490.552508737863
Method 1 K30  score: 20489.86933980078
Method 1 K31  score: 20490.36199653329
Method 1 K32  score: 20489.723165395248
Method 1 K33  score: 20489.203526378013
Method 1 K34  score: 20488.52035744093
Method 1 K35  score: 20489.01301417344
Method 1 K36  score: 20488.374183035397
Method 1 K37  score: 20490.51655225055
Method 1 K38  score: 20489.833383313467
Method 1 K39  score: 20490.326040045977
Method 1 K40  score: 20489.687208907933
Method 1 K41  score: 20490.24809817318
Method 1 K42  score: 20489.56492923609
Method 1 K43  score: 20490.057585968607
Method 1 K44  score: 20490.81372207032
Method 1 K45  score: 20490.044174201306
Method 1 K46  score: 20489.361005264225
Method 1 K47  score: 20489.853661996734
Method 1 K48  score: 20489.21483085869
Method 1 K49  score: 20491.357200073842
Method 1 K50  score: 20490.67403113676
Method 1 K51  score: 20491.16668786927
Method 1 K52  score: 20490.527856731227
Method 1 K53  score: 20491.68376793372
Method 1 K54  score: 20491.00059899663
Method 1 K55  score: 20491.493255729147
Method 1 K56  score: 20490.854424591103
Method 1 K57  score: 20491.479843961846
Method 1 K58  score: 20491.479843961846
Method 1 K59  score: 20491.289331757274
Method 1 K60  score: 20490.65050061923
Method 1 K61  score: 20492.792869834382
Method 1 K62  score: 20492.1097008973
Method 1 K63  score: 20492.60235762981
Method 1 K64  score: 20491.963526491767
Method 1 K65  score: 20489.542822670715
Method 1 K66  score: 20488.859653733634
Method 1 K67  score: 20489.352310466144
Method 1 K68  score: 20488.7134793281
Method 1 K69  score: 20489.5068661834
Method 1 K70  score: 20488.82369724632
Method 1 K71  score: 20618.49743891146
Method 1 K72  score: 20488.677522840786
Method 1 K73  score: 20489.33889869885
Method 1 K74  score: 20617.836814694394
Method 1 K75  score: 20489.14838649428
Method 1 K76  score: 20488.509555356228
Method 1 K77  score: 20490.651924571386
Method 1 K78  score: 20489.968755634298
Method 1 K79  score: 20489.968755634298
Method 1 K80  score: 20489.822581228764
Method 1 K81  score: 20489.302942211536
Method 1 K82  score: 20488.619773274455
Method 1 K83  score: 20489.112430006964
Method 1 K84  score: 20488.47359886892
Method 1 K85  score: 20490.615968084072
Method 1 K86  score: 20489.932799146984
Method 1 K87  score: 20490.4254558795
Method 1 K88  score: 20489.786624741457
Method 1 K89  score: 20490.978492431255
Method 1 K90  score: 20490.295323494174
Method 1 K91  score: 20490.787980226683
Method 1 K92  score: 20490.14914908864
Method 1 K93  score: 20490.94253594394
Method 1 K94  score: 20490.25936700686
Method 1 K95  score: 20490.75202373937
Method 1 K96  score: 20490.113192601326
Method 1 K97  score: 20490.77456845939
Method 1 K98  score: 20490.0913995223
Method 1 K99  score: 20490.58405625482
Method 1 K100  score: 20489.945225116768
Method 1 K101  score: 20492.087594331926
Method 1 K102  score: 20491.404425394838
Method 1 K103  score: 20491.897082127354
Method 1 K104  score: 20491.258250989304
Method 1 K105  score: 20490.738611972076
Method 1 K106  score: 20490.055443034995
Method 1 K107  score: 20490.548099767504
Method 1 K108  score: 20489.90926862946
Method 1 K109  score: 20492.051637844612
Method 1 K110  score: 20491.36846890753
Method 1 K111  score: 20491.86112564004
Method 1 K112  score: 20491.222294501997
Method 2 K1  score: 28079.478605804878
Method 2 K2  score: 28079.796262520962
Method 2 K3  score: 28070.801945209034
Method 2 K4  score: 28072.03456168944
Method 2 K5  score: 28074.31240160064
Method 2 K6  score: 28074.630058316725
Method 2 K7  score: 28065.635741004797
Method 2 K8  score: 28066.868357485204
Method 2 K9  score: 28327.297121671858
Method 2 K10  score: 28327.61477838794
Method 2 K11  score: 28318.620461076014
Method 2 K12  score: 28325.85307755642
Method 2 K13  score: 28079.759578096404
Method 2 K14  score: 28080.07723481249
Method 2 K15  score: 28071.08291750056
Method 2 K16  score: 28072.31553398097
Method 2 K17  score: 28072.31553398097
Method 2 K18  score: 28080.0834559714
Method 2 K19  score: 28071.08913865947
Method 2 K20  score: 28072.32175513988
Method 2 K21  score: 28074.41119380646
Method 2 K22  score: 28074.728850522544
Method 2 K23  score: 28065.734533210616
Method 2 K24  score: 28066.967149691023
Method 2 K25  score: 28074.599595051077
Method 2 K26  score: 28074.91725176716
Method 2 K27  score: 28065.922934455233
Method 2 K28  score: 28067.155550935644
Method 2 K29  score: 28080.046771546844
Method 2 K30  score: 28080.364428262925
Method 2 K31  score: 28071.370110951
Method 2 K32  score: 28072.602727431407
Method 2 K33  score: 28069.244989602223
Method 2 K34  score: 28069.562646318307
Method 2 K35  score: 28060.56832900638
Method 2 K36  score: 28061.80094548679
Method 2 K37  score: 28074.69216609799
Method 2 K38  score: 28075.00982281407
Method 2 K39  score: 28066.015505502146
Method 2 K40  score: 28067.248121982553
Method 2 K41  score: 28072.100401893676
Method 2 K42  score: 28072.41805860976
Method 2 K43  score: 28063.423741297833
Method 2 K44  score: 28027.842375123342
Method 2 K45  score: 28066.93419768944
Method 2 K46  score: 28067.251854405524
Method 2 K47  score: 28058.257537093596
Method 2 K48  score: 28059.490153574006
Method 2 K49  score: 28072.381374185206
Method 2 K50  score: 28072.69903090129
Method 2 K51  score: 28063.704713589363
Method 2 K52  score: 28064.93733006977
Method 2 K53  score: 28076.374540150664
Method 2 K54  score: 28076.69219686675
Method 2 K55  score: 28067.69787955482
Method 2 K56  score: 28068.93049603523
Method 2 K57  score: 28071.20833594643
Method 2 K58  score: 28071.20833594643
Method 2 K59  score: 28062.531675350583
Method 2 K60  score: 28063.764291830994
Method 2 K61  score: 28076.655512442194
Method 2 K62  score: 28076.97316915828
Method 2 K63  score: 28067.97885184635
Method 2 K64  score: 28069.211468326757
Method 2 K65  score: 28072.387595344113
Method 2 K66  score: 28072.705252060197
Method 2 K67  score: 28063.71093474827
Method 2 K68  score: 28064.94355122868
Method 2 K69  score: 28067.03298989526
Method 2 K70  score: 28067.350646611343
Method 2 K71  score: 28064.356329299415
Method 2 K72  score: 28059.588945779826
Method 2 K73  score: 28067.22139113988
Method 2 K74  score: 28073.53904785596
Method 2 K75  score: 28058.544730544036
Method 2 K76  score: 28059.777347024443
Method 2 K77  score: 28072.668567635643
Method 2 K78  score: 28072.986224351727
Method 2 K79  score: 28072.986224351727
Method 2 K80  score: 28065.22452352021
Method 2 K81  score: 28061.866785691025
Method 2 K82  score: 28062.184442407106
Method 2 K83  score: 28053.190125095178
Method 2 K84  score: 28054.42274157559
Method 2 K85  score: 28067.31396218679
Method 2 K86  score: 28067.631618902873
Method 2 K87  score: 28058.637301590945
Method 2 K88  score: 28059.869918071352
Method 2 K89  score: 28076.661733601104
Method 2 K90  score: 28076.979390317185
Method 2 K91  score: 28067.98507300526
Method 2 K92  score: 28069.217689485668
Method 2 K93  score: 28071.307128152246
Method 2 K94  score: 28071.62478486833
Method 2 K95  score: 28062.630467556402
Method 2 K96  score: 28063.863084036813
Method 2 K97  score: 28071.495529396867
Method 2 K98  score: 28071.813186112948
Method 2 K99  score: 28062.818868801023
Method 2 K100  score: 28064.05148528143
Method 2 K101  score: 28076.94270589263
Method 2 K102  score: 28077.260362608715
Method 2 K103  score: 28068.266045296787
Method 2 K104  score: 28069.498661777197
Method 2 K105  score: 28066.140923948013
Method 2 K106  score: 28066.458580664093
Method 2 K107  score: 28057.46426335217
Method 2 K108  score: 28058.696879832576
Method 2 K109  score: 28071.588100443776
Method 2 K110  score: 28071.90575715986
Method 2 K111  score: 28062.911439847932
Method 2 K112  score: 28064.144056328343
