UOBM36  RoBERTa

cosine
Method 1 K1  score: 10090.290451225941
Method 1 K2  score: 10089.696420447819
Method 1 K3  score: 10090.47844921532
Method 1 K4  score: 10089.279368452393
Method 1 K5  score: 10090.214578627169
Method 1 K6  score: 10089.620547849046
Method 1 K7  score: 10090.402576616547
Method 1 K8  score: 10089.20349585362
Method 1 K9  score: 10156.629319708687
Method 1 K10  score: 10156.035288930565
Method 1 K11  score: 10156.817317698065
Method 1 K12  score: 10155.618236935139
Method 1 K13  score: 10090.570005346462
Method 1 K14  score: 10089.97597456834
Method 1 K15  score: 10090.75800333584
Method 1 K16  score: 10089.558922572915
Method 1 K17  score: 10090.242303215711
Method 1 K18  score: 10089.64827243759
Method 1 K19  score: 10090.43030120509
Method 1 K20  score: 10089.231220442163
Method 1 K21  score: 10090.197276919946
Method 1 K22  score: 10089.603246141824
Method 1 K23  score: 10090.385274909324
Method 1 K24  score: 10089.186194146398
Method 1 K25  score: 10090.166430616939
Method 1 K26  score: 10089.572399838817
Method 1 K27  score: 10090.354428606317
Method 1 K28  score: 10089.15534784339
Method 1 K29  score: 10090.521857336233
Method 1 K30  score: 10089.92782655811
Method 1 K31  score: 10090.709855325611
Method 1 K32  score: 10089.510774562685
Method 1 K33  score: 10090.121404321173
Method 1 K34  score: 10089.527373543051
Method 1 K35  score: 10090.309402310551
Method 1 K36  score: 10089.110321547625
Method 1 K37  score: 10090.476831040467
Method 1 K38  score: 10089.882800262345
Method 1 K39  score: 10090.664829029845
Method 1 K40  score: 10089.465748266919
Method 2 K1  score: 11703.989779649652
Method 2 K2  score: 11703.120606566852
Method 2 K3  score: 11702.764097002486
Method 2 K4  score: 11702.723006445307
Method 2 K5  score: 11703.306314864334
Method 2 K6  score: 11702.437141781535
Method 2 K7  score: 11702.080632217168
Method 2 K8  score: 11702.03954165999
Method 2 K9  score: 11746.167229027793
Method 2 K10  score: 11745.298055944993
Method 2 K11  score: 11744.941546380627
Method 2 K12  score: 11744.900455823448
Method 2 K13  score: 11703.935568104858
Method 2 K14  score: 11703.066395022059
Method 2 K15  score: 11702.709885457693
Method 2 K16  score: 11702.668794900514
Method 2 K17  score: 11704.031526580888
Method 2 K18  score: 11703.162353498088
Method 2 K19  score: 11702.805843933722
Method 2 K20  score: 11702.764753376543
Method 2 K21  score: 11703.377387583341
Method 2 K22  score: 11702.508214500542
Method 2 K23  score: 11702.151704936176
Method 2 K24  score: 11702.110614378997
Method 2 K25  score: 11703.34806179557
Method 2 K26  score: 11702.47888871277
Method 2 K27  score: 11702.122379148404
Method 2 K28  score: 11702.081288591226
Method 2 K29  score: 11703.977315036094
Method 2 K30  score: 11703.108141953295
Method 2 K31  score: 11702.751632388929
Method 2 K32  score: 11702.71054183175
Method 2 K33  score: 11702.693922798024
Method 2 K34  score: 11701.824749715224
Method 2 K35  score: 11701.468240150858
Method 2 K36  score: 11701.42714959368
