UOBM37  RoBERTa

cosine
Method 2 K56  score: 32617.517837876643
Method 2 K57  score: 32615.416682912815
Method 2 K58  score: 32612.985052808835
Method 2 K59  score: 32610.004651506828
Method 2 K60  score: 32613.851892462433
Method 2 K61  score: 32620.94371124349
Method 2 K62  score: 32618.51208113951
Method 2 K63  score: 32615.531679837502
Method 2 K64  score: 32619.378920793108
Method 2 K65  score: 32617.65201975334
Method 2 K66  score: 32615.22038964936
Method 2 K67  score: 32612.23998834735
Method 2 K68  score: 32616.087229302957
Method 2 K69  score: 32616.016672259477
Method 2 K70  score: 32613.585042155497
Method 2 K71  score: 32610.60464085349
Method 2 K72  score: 32614.451881809095
Method 2 K73  score: 32613.98607433913
Method 2 K74  score: 32611.55444423515
Method 2 K75  score: 32608.57404293314
Method 2 K76  score: 32612.421283888747
Method 2 K77  score: 32619.513102669804
Method 2 K78  score: 32617.081472565824
Method 2 K79  score: 32614.101071263816
Method 2 K80  score: 32617.94831221942
Method 2 K81  score: 32612.350726845267
Method 2 K82  score: 32609.919096741287
Method 2 K83  score: 32606.93869543928
Method 2 K84  score: 32610.785936394885
Method 2 K85  score: 32617.87775517594
Method 2 K86  score: 32615.44612507196
Method 2 K87  score: 32612.465723769954
Method 2 K88  score: 32616.31296472556
Method 2 K89  score: 32619.186995655113
Method 2 K90  score: 32616.755365551133
Method 2 K91  score: 32613.774964249125
Method 2 K92  score: 32617.62220520473
Method 2 K93  score: 32617.55164816125
Method 2 K94  score: 32615.12001805727
Method 2 K95  score: 32612.139616755263
Method 2 K96  score: 32615.98685771087
Method 2 K97  score: 32615.521050240903
Method 2 K98  score: 32613.089420136923
Method 2 K99  score: 32610.109018834915
Method 2 K100  score: 32613.95625979052
Method 2 K101  score: 32621.048078571577
Method 2 K102  score: 32618.616448467597
Method 2 K103  score: 32615.63604716559
Method 2 K104  score: 32619.483288121195
Method 2 K105  score: 32613.88570274704
Method 2 K106  score: 32611.45407264306
Method 2 K107  score: 32608.473671341053
Method 2 K108  score: 32612.32091229666
Method 2 K109  score: 32619.412731077715
Method 2 K110  score: 32616.981100973735
Method 2 K111  score: 32614.000699671727
Method 2 K112  score: 32617.847940627333

euclid
Method 1 K1  score: 25392.433741844812
Method 1 K2  score: 25391.448874501086
Method 1 K3  score: 25392.13606524541
Method 1 K4  score: 25391.14463926552
Method 1 K5  score: 25392.37554891305
Method 1 K6  score: 25391.390681569323
Method 1 K7  score: 25392.077872313646
Method 1 K8  score: 25391.086446333757
Method 1 K9  score: 25720.754538530346
Method 1 K10  score: 25719.76967118662
Method 1 K11  score: 25720.456861930943
Method 1 K12  score: 25719.465435951053
Method 1 K13  score: 25392.91398618911
Method 1 K14  score: 25391.929118845383
Method 1 K15  score: 25392.616309589706
Method 1 K16  score: 25391.624883609817
Method 1 K17  score: 25392.2575812487
Method 1 K18  score: 25391.272713904975
Method 1 K19  score: 25391.9599046493
Method 1 K20  score: 25390.96847866941
Method 1 K21  score: 25392.20328903656
Method 1 K22  score: 25391.218421692833
Method 1 K23  score: 25391.905612437156
Method 1 K24  score: 25390.914186457267
Method 1 K25  score: 25392.199388316938
Method 1 K26  score: 25391.21452097321
Method 1 K27  score: 25551.301444123892
Method 1 K28  score: 25390.910285737646
Method 1 K29  score: 25392.737825592998
Method 1 K30  score: 25551.605679359458
Method 1 K31  score: 25392.440148993595
Method 1 K32  score: 25391.448723013706
Method 1 K33  score: 25392.145096104796
Method 1 K34  score: 25391.16022876107
Method 1 K35  score: 25391.847419505393
Method 1 K36  score: 25390.855993525503
Method 1 K37  score: 25392.683533380856
Method 1 K38  score: 25391.69866603713
Method 1 K39  score: 25392.385856781453
Method 1 K40  score: 25391.394430801563
Method 1 K41  score: 25392.48863176018
Method 1 K42  score: 25391.503764416455
Method 1 K43  score: 25392.19095516078
Method 1 K44  score: 25391.19952918089
Method 1 K45  score: 25392.430438828418
Method 1 K46  score: 25391.44557148469
Method 1 K47  score: 25392.132762229015
Method 1 K48  score: 25391.141336249126
Method 1 K49  score: 25392.968876104478
Method 1 K50  score: 25391.98400876075
Method 1 K51  score: 25392.671199505075
Method 1 K52  score: 25391.679773525186
Method 1 K53  score: 25392.64927217776
Method 1 K54  score: 25391.664404834035
Method 1 K55  score: 25392.35159557836
Method 1 K56  score: 25391.36016959847
Method 1 K57  score: 25392.591079245998
Method 1 K58  score: 25391.60621190227
Method 1 K59  score: 25392.293402646595
Method 1 K60  score: 25391.301976666706
Method 1 K61  score: 25393.129516522058
Method 1 K62  score: 25392.14464917833
Method 1 K63  score: 25392.831839922655
Method 1 K64  score: 25391.840413942766
Method 1 K65  score: 25392.31247116407
Method 1 K66  score: 25391.327603820344
Method 1 K67  score: 25392.014794564668
Method 1 K68  score: 25391.023368584778
Method 1 K69  score: 25392.258178951928
Method 1 K70  score: 25391.2733116082
Method 1 K71  score: 25391.960502352526
Method 1 K72  score: 25390.969076372636
Method 1 K73  score: 25392.254278232307
Method 1 K74  score: 25391.26941088858
Method 1 K75  score: 25391.956601632904
Method 1 K76  score: 25390.965175653015
Method 1 K77  score: 25392.792715508367
Method 1 K78  score: 25391.80784816464
Method 1 K79  score: 25392.495038908964
Method 1 K80  score: 25391.503612929075
Method 1 K81  score: 25392.199986020165
Method 1 K82  score: 25391.21511867644
Method 1 K83  score: 25391.902309420762
Method 1 K84  score: 25390.910883440873
Method 1 K85  score: 25392.738423296225
Method 1 K86  score: 25391.7535559525
Method 1 K87  score: 25392.440746696822
Method 1 K88  score: 25391.449320716933
Method 1 K89  score: 25392.47311158165
Method 1 K90  score: 25391.488244237924
Method 1 K91  score: 25392.175434982248
Method 1 K92  score: 25391.184009002358
Method 1 K93  score: 25392.418819369508
Method 1 K94  score: 25391.43395202578
Method 1 K95  score: 25392.121142770106
Method 1 K96  score: 25391.129716790216
